simulation_window,planning_window,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,mean_solver_time,total_solver_time,planning_calls
1,5,128,18,ok,0,469,1.83203125,0.15758355468750007,40.34139000000002,256
1,5,128,19,ok,0,491,1.91796875,0.15970600000000004,40.88473600000001,256
1,5,160,10,ok,0,591,2.30859375,0.26325714453125015,67.39382900000004,256
1,5,160,11,ok,0,458,1.7890625,0.28409241015625,72.727657,256
1,5,160,12,ok,0,531,2.07421875,0.27889608984375003,71.39739900000001,256
1,5,160,13,ok,0,459,1.79296875,0.29166867578124994,74.66718099999999,256
1,5,160,14,ok,0,465,1.81640625,0.26664603124999997,68.26138399999999,256
1,5,160,15,ok,0,467,1.82421875,0.2614202578125001,66.92358600000003,256
1,5,160,16,ok,0,419,1.63671875,0.30827769140625005,78.91908900000001,256
1,5,160,17,ok,0,557,2.17578125,0.28339260156250007,72.54850600000002,256
1,5,160,18,ok,0,502,1.9609375,0.2712706484375001,69.44528600000002,256
1,5,160,19,ok,0,423,1.65234375,0.28136245312499986,72.02878799999996,256
1,5,192,10,ok,0,341,1.33203125,0.5237787421874999,134.08735799999997,256
1,5,192,11,ok,0,369,1.44140625,0.4498984882812501,115.17401300000003,256
1,5,192,12,ok,0,456,1.78125,0.481567734375,123.28134,256
1,5,192,13,ok,0,351,1.37109375,0.4624505625000002,118.38734400000006,256
1,5,192,14,ok,0,337,1.31640625,0.4653792460937499,119.13708699999998,256
1,5,192,15,ok,0,452,1.765625,0.5206968671874999,133.29839799999996,256
1,5,192,16,ok,0,355,1.38671875,0.5183393398437499,132.69487099999998,256
1,5,192,17,ok,0,315,1.23046875,0.4925412968750002,126.09057200000005,256
1,5,192,18,ok,0,487,1.90234375,0.5250068046875,134.401742,256
1,5,192,19,ok,0,422,1.6484375,0.4576051874999999,117.14692799999997,256
1,10,32,10,ok,0,308,1.203125,0.0029908281249999996,0.7656519999999999,256
1,10,32,11,ok,0,308,1.203125,0.0023429374999999987,0.5997919999999997,256
1,10,32,12,ok,0,316,1.234375,0.003097160156249998,0.7928729999999995,256
1,10,32,13,ok,0,336,1.3125,0.0025135039062499994,0.6434569999999998,256
1,10,32,14,ok,0,324,1.265625,0.0022681953125000013,0.5806580000000003,256
