simulation_window,planning_window,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,run_dir
1,5,24,10,ok,0,397,1.55078125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260514_165810/sim_1_plan_5/agents_24/seed_10
1,5,24,11,ok,0,410,1.6015625,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260514_165810/sim_1_plan_5/agents_24/seed_11
1,5,24,12,ok,0,409,1.59765625,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260514_165810/sim_1_plan_5/agents_24/seed_12
1,5,24,13,ok,0,406,1.5859375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260514_165810/sim_1_plan_5/agents_24/seed_13
1,5,24,14,ok,0,415,1.62109375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260514_165810/sim_1_plan_5/agents_24/seed_14
1,5,24,15,ok,0,421,1.64453125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260514_165810/sim_1_plan_5/agents_24/seed_15
1,5,24,16,ok,0,399,1.55859375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260514_165810/sim_1_plan_5/agents_24/seed_16
1,5,24,17,ok,0,431,1.68359375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260514_165810/sim_1_plan_5/agents_24/seed_17
1,5,24,18,ok,0,396,1.546875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260514_165810/sim_1_plan_5/agents_24/seed_18
1,5,24,19,ok,0,399,1.55859375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260514_165810/sim_1_plan_5/agents_24/seed_19
1,5,32,10,ok,0,519,2.02734375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260514_165810/sim_1_plan_5/agents_32/seed_10
1,5,32,11,ok,0,540,2.109375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260514_165810/sim_1_plan_5/agents_32/seed_11
1,5,32,12,ok,0,491,1.91796875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260514_165810/sim_1_plan_5/agents_32/seed_12
1,5,32,13,ok,0,499,1.94921875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260514_165810/sim_1_plan_5/agents_32/seed_13
