mode,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,mean_solver_time,total_solver_time,planning_calls
learned,96,10,ok,0,344,1.34375,0.06538557421874998,16.738706999999994,256
learned,96,11,ok,0,326,1.2734375,0.08253289062499991,21.128419999999977,256
learned,96,12,ok,0,359,1.40234375,0.07380586328125,18.894301,256
learned,96,13,ok,0,357,1.39453125,0.09376841015625018,24.004713000000045,256
learned,96,14,ok,0,334,1.3046875,0.06648464843749999,17.020069999999997,256
learned,96,15,ok,0,340,1.328125,0.05461744531249998,13.982065999999994,256
learned,96,16,ok,0,363,1.41796875,0.08679180078124997,22.218700999999992,256
learned,96,17,ok,0,338,1.3203125,0.08117690624999999,20.781287999999996,256
learned,96,18,ok,0,346,1.3515625,0.07031817578125,18.001453,256
learned,96,19,ok,0,338,1.3203125,0.09415547265624999,24.103800999999997,256
learned,128,10,ok,0,428,1.671875,0.2083980703125,53.349906,256
learned,128,11,ok,0,417,1.62890625,0.24781480078124998,63.440588999999996,256
learned,128,12,ok,0,447,1.74609375,0.22165418749999993,56.74347199999998,256
learned,128,13,ok,0,449,1.75390625,0.24819116796875015,63.53693900000004,256
learned,128,14,ok,0,423,1.65234375,0.22759980468750002,58.265550000000005,256
learned,128,15,ok,0,428,1.671875,0.23243519531249998,59.503409999999995,256
learned,128,16,ok,0,440,1.71875,0.2726361757812499,69.79486099999997,256
learned,128,17,ok,0,457,1.78515625,0.16421614843750001,42.039334000000004,256
learned,128,18,ok,0,429,1.67578125,0.2987779453125001,76.48715400000003,256
learned,128,19,ok,0,419,1.63671875,0.20674384765625006,52.926425000000016,256
learned,160,10,ok,0,539,2.10546875,0.4109442851562499,105.20173699999998,256
learned,160,11,ok,0,496,1.9375,0.5589248593749999,143.08476399999998,256
learned,160,12,ok,0,515,2.01171875,0.6843342109374998,175.18955799999995,256
learned,160,13,ok,0,509,1.98828125,0.6267628554687499,160.45129099999997,256
learned,160,14,ok,0,504,1.96875,0.5651858281249995,144.68757199999988,256
learned,160,15,ok,0,522,2.0390625,0.660759394531249,169.15440499999974,256
learned,160,16,ok,0,502,1.9609375,0.8846472968750002,226.46970800000005,256
learned,160,17,ok,0,531,2.07421875,0.6224617421874998,159.35020599999996,256
learned,160,18,ok,0,492,1.921875,0.8191040820312501,209.69064500000002,256
learned,160,19,ok,0,498,1.9453125,0.7467792499999999,191.17548799999997,256
learned,192,10,ok,0,592,2.3125,1.5990895781249996,409.3669319999999,256
learned,192,11,ok,0,562,2.1953125,1.349831546875,345.556876,256
learned,192,12,ok,0,594,2.3203125,1.3923911953125008,356.4521460000002,256
learned,192,13,ok,0,593,2.31640625,1.50189816796875,384.485931,256
learned,192,14,ok,0,558,2.1796875,1.3663149765624996,349.7766339999999,256
learned,192,15,ok,0,578,2.2578125,1.4348195273437503,367.3137990000001,256
learned,192,16,ok,0,559,2.18359375,2.5448761171875014,651.4882860000004,256
learned,192,17,ok,0,600,2.34375,1.4511976953124996,371.5066099999999,256
learned,192,18,ok,0,571,2.23046875,1.7080360898437499,437.25723899999997,256
learned,192,19,ok,0,593,2.31640625,1.6921764726562507,433.1971770000002,256
learned,224,10,ok,0,641,2.50390625,2.90531008984375,743.759383,256
learned,224,11,ok,0,587,2.29296875,3.6613437265625017,937.3039940000004,256
learned,224,12,ok,0,628,2.453125,3.4444441914062502,881.7777130000001,256
learned,224,13,ok,0,636,2.484375,4.439862738281249,1136.6048609999998,256
learned,224,14,ok,0,598,2.3359375,3.429903027343751,878.0551750000003,256
learned,224,15,ok,0,590,2.3046875,3.1737475703124995,812.4793779999999,256
learned,224,16,ok,0,631,2.46484375,3.99104383984375,1021.707223,256
learned,224,17,ok,0,627,2.44921875,3.02199309375,773.630232,256
learned,224,18,ok,0,594,2.3203125,3.5107831953125,898.760498,256
learned,224,19,ok,0,627,2.44921875,3.500044265625,896.011332,256
