simulation_window,planning_window,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,mean_solver_time,total_solver_time,planning_calls
1,10,224,11,ok,0,430,1.6796875,2.568030759842522,652.2798130000006,254
1,10,224,12,ok,0,407,1.58984375,2.7933040869565215,706.705934,253
1,10,224,13,ok,0,467,1.82421875,2.4988278207171315,627.205783,251
1,10,224,14,ok,0,445,1.73828125,2.5827422191235065,648.2682970000002,251
1,10,224,15,ok,0,420,1.640625,2.7653358823529413,705.16065,255
1,10,224,16,ok,0,421,1.64453125,2.43545975,623.477696,256
1,10,224,17,ok,0,438,1.7109375,2.46990340234375,632.295271,256
1,10,224,18,ok,0,370,1.4453125,2.1838297148437484,559.0604069999996,256
1,10,224,19,ok,0,480,1.875,2.5420250790513843,643.1323450000002,253
1,20,96,10,ok,0,361,1.41015625,0.060922984375000044,15.596284000000011,256
1,20,96,11,ok,0,338,1.3203125,0.06341823046875003,16.235067000000008,256
1,20,96,12,ok,0,379,1.48046875,0.04869535156250001,12.466010000000002,256
1,20,96,13,ok,0,350,1.3671875,0.07490658593750006,19.176086000000016,256
1,20,96,14,ok,0,357,1.39453125,0.05178302343749998,13.256453999999994,256
1,20,96,15,ok,0,351,1.37109375,0.07736233203125001,19.804757000000002,256
1,20,96,16,ok,0,361,1.41015625,0.08498830859375006,21.757007000000016,256
1,20,96,17,ok,0,350,1.3671875,0.05255835937500002,13.454940000000006,256
1,20,96,18,ok,0,345,1.34765625,0.07733106640624995,19.79675299999999,256
1,20,96,19,ok,0,337,1.31640625,0.0830181562500001,21.252648000000026,256
1,20,128,10,ok,0,462,1.8046875,0.15889348437499992,40.67673199999998,256
1,20,128,11,ok,0,437,1.70703125,0.15437541796875012,39.52010700000003,256
1,20,128,12,ok,0,464,1.8125,0.1464550078125,37.492482,256
1,20,128,13,ok,0,484,1.890625,0.16364930859374993,41.89422299999998,256
1,20,128,14,ok,0,437,1.70703125,0.1589897812500001,40.701384000000026,256
1,20,128,15,ok,0,469,1.83203125,0.14431046875000003,36.94348000000001,256
1,20,128,16,ok,0,462,1.8046875,0.21470253515625007,54.96384900000002,256
1,20,128,17,ok,0,449,1.75390625,0.1492712500000001,38.21344000000003,256
1,20,128,18,ok,0,449,1.75390625,0.18471848046874995,47.287930999999986,256
1,20,128,19,ok,0,449,1.75390625,0.21361453906250008,54.68532200000002,256
1,20,160,10,ok,0,536,2.09375,0.44200988281250003,113.15453000000001,256
1,20,160,11,ok,0,488,1.90625,0.6285815117187498,160.91686699999994,256
1,20,160,12,ok,0,523,2.04296875,0.70846796875,181.3678,256
1,20,160,13,ok,0,529,2.06640625,0.7375037343750002,188.80095600000004,256
1,20,160,14,ok,0,502,1.9609375,0.5829429765624997,149.23340199999993,256
1,20,160,15,ok,0,536,2.09375,0.7117758671875001,182.21462200000002,256
1,20,160,16,ok,0,501,1.95703125,1.0045099218750004,257.1545400000001,256
1,20,160,17,ok,0,555,2.16796875,0.45278783203125006,115.91368500000002,256
1,20,160,18,ok,0,514,2.0078125,0.6473692617187494,165.72653099999985,256
1,20,160,19,ok,0,527,2.05859375,0.8514479687500005,217.97068000000013,256
1,20,192,10,ok,0,608,2.375,1.4206085507812498,363.67578899999995,256
