simulation_window,planning_window,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,run_dir
1,5,128,17,ok,0,559,2.18359375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_128/seed_17
1,5,128,18,ok,0,754,2.9453125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_128/seed_18
1,5,128,19,ok,0,574,2.2421875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_128/seed_19
1,5,160,10,ok,0,438,1.7109375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_160/seed_10
1,5,160,11,ok,0,525,2.05078125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_160/seed_11
1,5,160,12,ok,0,455,1.77734375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_160/seed_12
1,5,160,13,ok,0,391,1.52734375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_160/seed_13
1,5,160,14,ok,0,466,1.8203125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_160/seed_14
1,5,160,15,ok,0,512,2.0,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_160/seed_15
1,5,160,16,ok,0,485,1.89453125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_160/seed_16
1,5,160,17,ok,0,311,1.21484375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_160/seed_17
1,5,160,18,ok,0,476,1.859375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_160/seed_18
1,5,160,19,ok,0,499,1.94921875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_160/seed_19
1,5,192,10,ok,0,297,1.16015625,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_192/seed_10
1,5,192,11,ok,0,503,1.96484375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_192/seed_11
1,5,192,12,ok,0,461,1.80078125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_192/seed_12
1,5,192,13,ok,0,309,1.20703125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_192/seed_13
1,5,192,14,ok,0,395,1.54296875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_192/seed_14
1,5,192,15,ok,0,348,1.359375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_192/seed_15
1,5,192,16,ok,0,320,1.25,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_192/seed_16
1,5,192,17,ok,0,395,1.54296875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_192/seed_17
1,5,192,18,ok,0,368,1.4375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_192/seed_18
1,5,192,19,ok,0,319,1.24609375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_5/agents_192/seed_19
1,10,32,10,ok,0,311,1.21484375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_32/seed_10
1,10,32,11,ok,0,308,1.203125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_32/seed_11
1,10,32,12,ok,0,316,1.234375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_32/seed_12
1,10,32,13,ok,0,336,1.3125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_32/seed_13
1,10,32,14,ok,0,318,1.2421875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_32/seed_14
1,10,32,15,ok,0,315,1.23046875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_32/seed_15
1,10,32,16,ok,0,322,1.2578125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_32/seed_16
1,10,32,17,ok,0,305,1.19140625,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_32/seed_17
1,10,32,18,ok,0,319,1.24609375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_32/seed_18
1,10,32,19,ok,0,315,1.23046875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_32/seed_19
1,10,64,10,ok,0,591,2.30859375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_64/seed_10
1,10,64,11,ok,0,588,2.296875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_64/seed_11
1,10,64,12,ok,0,608,2.375,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_64/seed_12
1,10,64,13,ok,0,588,2.296875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_64/seed_13
1,10,64,14,ok,0,589,2.30078125,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_64/seed_14
1,10,64,15,ok,0,587,2.29296875,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_64/seed_15
1,10,64,16,ok,0,569,2.22265625,/home/shiqi/masterarbeit/RHCR/exp2/rhcr_baseline_windows_20260510_130204/sim_1_plan_10/agents_64/seed_16
