0.089003,172,344,21360,68442,4829,4792,31.1812,229,0,160,12
0.063072,159,318,19149,61487,4670,4634,30.1875,181,1,160,12
0.057944,146,292,17750,56927,4523,4478,29.2688,165,2,160,12
0.065691,158,317,19611,61081,4417,4361,28.6062,159,3,160,12
0.069219,162,324,20203,62194,4262,4207,27.6375,173,4,160,12
0.066434,158,316,20531,61817,4109,4050,26.6812,184,5,160,12
0.071549,171,342,21501,63650,4048,3980,26.3,199,6,160,12
0.088013,185,371,26724,75675,3952,3867,25.7,214,7,160,12
0.080928,174,348,25896,71028,3809,3726,24.8062,214,8,160,12
0.115001,199,398,37093,96313,3671,3573,23.9438,224,9,160,12
0.090525,180,360,28073,75514,3596,3506,23.475,234,10,160,12
0.108121,200,400,31514,83793,3525,3407,23.0312,255,11,160,12
0.168709,217,434,49377,122149,3444,3301,22.525,259,12,160,12
0.148709,220,440,41911,105862,3384,3244,22.15,275,13,160,12
0.19758,245,490,55518,136326,3256,3087,21.35,256,14,160,12
0.236264,266,532,66725,160889,3206,3027,21.0375,284,15,160,12
0.26522,290,580,74255,174656,3132,2907,20.575,298,16,160,12
0.24323,265,530,69016,160678,2989,2772,19.6812,291,17,160,12
0.259799,268,536,69532,163218,2996,2764,19.725,312,18,160,12
0.302951,304,608,78034,179807,3037,2787,19.9812,369,19,160,12
0.287394,300,600,68669,158704,3084,2803,20.275,407,20,160,12
0.494651,332,664,130498,277640,3084,2752,20.275,392,21,160,12
0.402614,346,692,112409,236289,3015,2671,19.8438,418,22,160,12
0.526189,353,706,133122,281074,2985,2608,19.6562,419,23,160,12
0.515292,327,654,175557,335338,2844,2484,18.775,403,24,160,12
0.335122,312,625,86333,183838,2730,2396,18.0625,388,25,160,12
0.332167,320,640,89091,189456,2704,2362,17.9,403,26,160,12
0.391161,319,639,114565,241188,2691,2331,17.8188,388,27,160,12
0.429104,314,628,130121,261350,2896,2475,19.1,423,28,160,12
0.347111,284,569,115601,231729,2758,2395,18.2375,407,29,160,12
