simulation_window,planning_window,num_agents,seed,status,returncode,completed_tasks,throughput_per_step,mean_solver_time,total_solver_time,planning_calls
1,5,96,10,ok,0,466,1.8203125,0.008315882812499995,2.1288659999999986,256
1,5,96,11,ok,0,454,1.7734375,0.008304765624999997,2.126019999999999,256
1,5,96,12,ok,0,455,1.77734375,0.008381523437499996,2.145669999999999,256
1,5,96,13,ok,0,476,1.859375,0.00811216796875,2.076715,256
1,5,96,14,ok,0,446,1.7421875,0.008273734375000005,2.118076000000001,256
1,5,96,15,ok,0,465,1.81640625,0.00809453125,2.0722,256
1,5,96,16,ok,0,469,1.83203125,0.007952539062500003,2.035850000000001,256
1,5,96,17,ok,0,451,1.76171875,0.008525148437499994,2.1824379999999985,256
1,5,96,18,ok,0,472,1.84375,0.007934191406249996,2.031152999999999,256
1,5,96,19,ok,0,458,1.7890625,0.008179542968749995,2.0939629999999987,256
1,5,128,10,ok,0,616,2.40625,0.0149939765625,3.838458,256
1,5,128,11,ok,0,613,2.39453125,0.015083332031249995,3.861332999999999,256
1,5,128,12,ok,0,640,2.5,0.01570460156249999,4.020377999999997,256
1,5,128,13,ok,0,593,2.31640625,0.015805695312500007,4.046258000000002,256
1,5,128,14,ok,0,611,2.38671875,0.015334390624999993,3.925603999999998,256
1,5,128,15,ok,0,607,2.37109375,0.015385648437500002,3.9387260000000004,256
1,5,128,16,ok,0,611,2.38671875,0.01641296484375,4.201719,256
1,5,128,17,ok,0,622,2.4296875,0.014802800781249991,3.789516999999998,256
1,5,128,18,ok,0,582,2.2734375,0.0163706796875,4.190894,256
1,5,128,19,ok,0,625,2.44140625,0.0153400078125,3.927042,256
1,5,160,10,ok,0,745,2.91015625,0.027810156250000002,7.119400000000001,256
1,5,160,11,ok,0,739,2.88671875,0.02684654296874999,6.872714999999998,256
1,5,160,12,ok,0,787,3.07421875,0.027086218749999984,6.934071999999996,256
1,5,160,13,ok,0,725,2.83203125,0.027916050781249976,7.146508999999994,256
1,5,160,14,ok,0,729,2.84765625,0.027638226562500003,7.075386000000001,256
1,5,160,15,ok,0,734,2.8671875,0.0264988359375,6.783702,256
1,5,160,16,ok,0,755,2.94921875,0.027092175781250005,6.935597000000001,256
1,5,160,17,ok,0,746,2.9140625,0.0274165234375,7.01863,256
1,5,160,18,ok,0,727,2.83984375,0.027563863281250007,7.056349000000002,256
1,5,160,19,ok,0,733,2.86328125,0.027646507812500005,7.077506000000001,256
1,5,192,10,ok,0,894,3.4921875,0.04441980859374998,11.371470999999994,256
1,5,192,11,ok,0,842,3.2890625,0.05016074218750006,12.841150000000015,256
1,5,192,12,ok,0,896,3.5,0.04226224609375001,10.819135000000003,256
1,5,192,13,ok,0,849,3.31640625,0.046272500000000015,11.845760000000004,256
1,5,192,14,ok,0,899,3.51171875,0.043082421874999964,11.02909999999999,256
1,5,192,15,ok,0,878,3.4296875,0.04609205078125003,11.799565000000008,256
1,5,192,16,ok,0,876,3.421875,0.04268623437499997,10.927675999999993,256
1,5,192,17,ok,0,899,3.51171875,0.04133426171875003,10.581571000000007,256
